1	0.750637 190 122 264 214
1	0.71892 377 50 429 121
1	0.237362 109 253 140 286
1	0.215688 22 234 69 299
1	0.21298 272 141 314 188
1	0.15176 10 42 58 116
1	0.132616 128 141 184 216
1	0.130788 260 108 317 183
1	0.125254 291 139 328 192
1	0.124364 18 59 72 133
1	0.122473 280 105 340 178
1	0.122329 365 92 433 170
1	0.12185 278 9 356 82
1	0.121611 96 250 122 286
1	0.120809 296 88 340 132
1	0.120421 3 68 41 123
1	0.120267 279 80 350 155
1	0.119866 107 96 166 189
1	0.119639 99 238 115 261
1	0.119265 1 20 33 82
1	0.119158 13 8 74 102
1	0.119005 282 45 354 111
1	0.118926 44 245 73 295
1	0.118722 260 137 290 189
1	0.118599 49 40 75 80
1	0.118439 81 271 96 293
1	0.118434 328 103 382 173
1	0.118317 74 83 114 132
1	0.118306 91 264 118 300
1	0.118154 97 234 121 270
1	0.118151 98 227 113 252
1	0.117978 30 52 64 112
1	0.117927 70 41 131 118
1	0.117636 71 92 128 174
1	0.117381 94 270 109 293
1	0.11734 81 259 97 281
1	0.117141 120 146 157 204
1	0.117126 110 259 146 309
1	0.116979 79 206 115 259
1	0.116841 42 30 56 49
1	0.116684 94 218 117 260
1	0.116621 110 247 131 273
1	0.116552 53 253 70 287
1	0.116544 298 57 343 94
1	0.116389 264 145 282 172
1	0.116381 82 289 98 313
1	0.116356 77 253 127 321
1	0.116293 77 111 115 161
1	0.116178 100 234 149 294
1	0.116133 34 18 64 57
1	0.116132 254 77 323 158
1	0.116004 1 37 17 67
1	0.115994 75 251 100 289
1	0.115895 408 74 445 125
1	0.115882 109 16 145 79
1	0.11522 55 32 69 48
1	0.115177 262 160 282 192
1	0.1151 87 280 115 320
1	0.115093 54 270 71 295
1	0.114976 56 48 71 70
1	0.114841 35 252 61 290
1	0.114744 112 206 148 259
1	0.114736 44 47 55 65
1	0.11473 412 -1 449 36
1	0.114689 136 156 175 203
1	0.114679 54 54 69 79
1	0.114513 115 111 150 169
1	0.114459 105 189 158 270
1	0.114441 410 114 451 167
1	0.114407 47 23 75 59
1	0.114303 75 216 100 259
1	0.114249 244 4 326 77
1	0.114186 340 82 377 134
1	0.114157 36 36 64 83
1	0.114128 17 30 30 52
1	0.114092 75 165 127 250
1	0.114079 57 288 75 315
1	0.11406 -2 21 23 64
1	0.11402 -1 78 20 112
1	0.113929 112 299 149 348
1	0.113928 75 10 135 87
1	0.113888 7 239 43 289
1	0.113786 78 224 93 248
1	0.113595 323 10 385 87
1	0.113524 35 0 74 41
1	0.113516 296 21 342 73
1	0.113444 78 279 103 321
1	0.113389 -53 181 224 422
1	0.113362 10 20 39 60
1	0.113355 127 256 149 285
1	0.113301 57 244 69 268
1	0.113287 81 298 95 322
1	0.113273 70 232 97 276
1	0.11324 17 42 31 62
1	0.113102 166 196 185 221
1	0.113097 7 261 41 312
1	0.113071 107 294 136 334
1	0.113006 105 218 133 260
1	0.112877 4 -1 38 42
1	0.112875 36 241 56 268
